proverb_telugu,proverb_english,meaning,keywords
నిప్పులో ఉన్న కొయ్య కాలదు,Nippulō unna koyya kāladu,Wood in the fire will eventually burn.,Wood in the fire will eventually burn.
పిండి కొద్దే రొట్టీ,Piṇḍi koddē roṭṭī,The bread is proportional to the dough.,"Resources, Result, Limitation"
"పుణ్యం కొద్దీ పురుషుడు, దానం కొద్దీ బిడ్డలు","Puṇyam koddī puruṣuḍu, dānam koddī biḍḍalu","The man's fortune is according to his virtue, the children according to his charity.","Karma, Fate, Deeds, Legacy"
కూలి కష్టం కాని అన్నం తీపి,Kūli kaṣṭam kāni annam tīpi,"Labour is hard, but the food tastes sweet.","Hard work, Satisfaction, Reward"
"ఆవు చేనులో మేస్తే, దూడ గట్టున మేస్తుందా?","Āvu cēnulō mēstē, dūḍa gaṭṭuna mēstundā?","If the cow grazes in the field, will the calf graze on the boundary?","Immitation, Control, Discipline"
"గుడి దగ్గర దొంగలు, గోరు దగ్గర ఈగలు","Guḍi dagga’ra dongalu, gōru dagga’ra īgalu","Guḍi dagga’ra dongalu, gōru dagga’ra īgalu","Temptation, Vulnerability, Attraction"
దూరపు కొండలు నునుపు,Dūra’pu koṇḍalu nunupu,Distant hills are smooth.,"Perception, Envy, Comparison"
నూరు నోములు ఒక రంకుతో సరి,Nūru nōmulu oka rankutō sari,Hundred good deeds are cancelled by one bad action.,"Morality, Consequences, Ethics"
కాచే చెట్టుకే రాళ్ల దెబ్బలు,Kācē ceṭṭukē rāḷḷa debbalu,Only the tree that bears fruit receives stone hits.,"Success, Criticism, Responsibility"
తోక తెగిన కోతిలా,Tōka tegina kōtilā,Like a monkey that lost its tail.,"Embarrassment, Loss, Awkwardness"
ఆకలి దప్పులు ఆనందం ఎరుగవు,Ākali dappulu ānandam erugavu,Hunger and thirst don't know happiness.,"Value, Loss, Appreciation"
"ఊరు పొమ్మంటుంది, కాడు రమ్మంటుంది","Ūru pommandhi, kāḍu rammandhi","The village tells you to go, the graveyard tells you to come.","Mortality, Inevitability, Death"
ఎక్కడ వేసిన గొంగళి అక్కడే,Ekkaḍa vēsina goṅgaḷi akkaḍē,"Wherever the blanket is placed, it stays there","No progress, Stagnation, Inertia"
అతి వినయం ధూర్త లక్షణం,Ati vinayam dhūrta lakṣaṇam,Excessive humility is a sign of cunning nature.,"Deception, Cunning, Behavior"
ముంజేటి కంకణానికి అద్దమెందుకు?,Muṇjēṭi kaṅkaṇāniki addamenduku?,Why does a bangle on the forearm need a mirror?,"Obviousness, Self-evident, Clarity"
క్షేత్రమెరిగి విత్తనం వెయ్యాలి,Kṣētramerigi vittanam veyyāli,Sow the seed knowing the field,"Prudence, Planning, Action"
పెద్దవారి మాట చద్ది అన్నం,Peddavāri māṭa caddi annam,The word of elders is stale rice,"Advice, Wisdom, Elders"
అందానికి కొన్న సొమ్ము అక్కరకు పనికొస్తుంది,Andāniki konna sommu akkaraku panikostundi,Money spent on beauty will be useful when needed.,"Investment, Utility, Future use"
బాఠికుంటే బలూసాకు తినవచ్చు,Bāṭhikunṭē balūsāku tinavachhu,"If one is prepared, one can eat even 'balusaaku' (a rough leaf).","Preparedness, Capability, Resilience"
మనసుంటే మార్గముంటుంది,Manasuntē mārgamuṇṭundi,"Where there is a will, there is a way.","Willpower, Determination, Solution"
కొంచెం కొంచెంగా గుండు పెరుగుతుంది,Konchem konchemga gundu periguthundi,Small efforts build big results,"patience, growth, effort"
చెట్టు నాటిందే నీడ ఇస్తుంది,Chettu naatinde needa isthundi,You benefit from what you invest in,"investment, result, effort"
అరిచే నక్క కరచదు,Ariche nakka karachadu,Those who shout a lot rarely act,"talk, action, bluff"
ఆవు పాలను ఆవే తాగింది,Aavu paalanu aave thaagindi,People use their own resources; nothing surprising,"obvious, natural, self-use"
తొందరపాటు పనికిరాదు,Thondarapaatu panikiraadu,Hurry causes mistakes,"caution, patience, slow"
చుక్క చూసి పడవ తొక్కకూడదు,Chukka choosi padava thokkakoodadu,Don’t attempt without proper knowledge,"planning, wisdom, preparation"
వాన వచ్చేగానీ మేఘాలు కదలవు,Vana vacchegani meghaalu kadalavu,Signs appear before events,"signs, prediction, clues"
లోతు నీళ్లు మోసమవు,Lothu neellu mosamavu,Deep thinkers stay calm,"maturity, depth, calmness"
చెయ్యనివాడి చెయ్యి దెబ్బ తినదు,Cheyyanivaadi cheyyi debba thinadu,"No risk, no gain","work, risk, effort"
పులికి పులి పిల్లే,Puliki puli pille,Children inherit parents’ qualities,"heredity, qualities, lineage"
కాగితపు పులి,Kaagitapu puli,Someone who looks strong but isn’t,"fake strength, appearance"
ఎద్దు మోత మానలేదు,Eddhu motha maanaledhu,Habits don’t change easily,"habit, behavior, nature"
పోయిన పాలు తిరిగి రావు,Poyina paalu thirigi raavu,Lost things won’t come back,"loss, regret, irreversible"
గాడిదకూ గజ రాజ్యం వచ్చినట్లే,Gadidakuu gaja raajyam vachinatle,Giving power to someone unfit,"unworthy, responsibility, mismatch"
చెట్టు దగ్గరికి పోతేనే నీడ ఇస్తుంది,Chettu daggariki potenee needa isthundi,Benefits come only when you act,"action, effort, initiative"
నిప్పు ఉంటేనే పొగ,Nippu untetene poga,Every rumor has a cause,"cause, reason, source"
వాడిపోయిన ఆకు తిరిగి మొలవదు,Vaadipoyina aaku thirigi molavadu,Some things can’t be restored,"loss, irreversible, truth"
ఒంటెకి ఒక్క చూపే చాలు,Onteki okka choope chaalu,Smart ones understand quickly,"intelligence, sharpness"
గోడ మీద నలుపు పులి,Goda meeda nalupu puli,Imaginary or impossible thing,"imagination, impossible "
పులి వచ్చిందంటే పిల్లి పారిపోదు,Puli vachindante pilli paaripodu,Brave people don’t fear easily,"courage, bravery"
అన్నం దొరక్కపోతే ఆకలి తక్కువ అవుతుందా,Annam dorakkapotey aakali thakkuva avutunda,Lack of resources doesn’t reduce needs,"need, hunger"
కళ్లెదుట ఉండి కనపడకపోవడం,Kalleduta undi kanapadakapovadam,Missing what is in front of you,"ignorance, oversight"
చెయ్యి వొంపితే గొంగళి లేస్తుంది,Cheyyi vompite gongali lestundi,Problems arise when you interfere,"interference, trouble"
చేతిలో ఉన్న పిట్ట పొదల్లో ఉన్న రెండింటికంటే మేలు,Chethilo unna pitta podallo unna rendu kante melu,What you have is better than what you hope for,"value, reality"
అవ్వ పొయ్యిలో పోతే బువ్వ పొయ్యిలో పడింది,Avva poyyilo pothe buvva poyyilo padindi,Trouble spreads when one thing goes wrong,"trouble, chain reaction"
గాడిదకి వెన్నెముకలో జడ పెడితే వాడా,Gadidaki vennemukhalo jad pedite vada,Dressing up someone doesn’t change their nature,"nature, behavior"
నిన్న మొన్నటి పిల్లవాడు కాదు,Ninna monnati pillavadu kaadu,Not inexperienced anymore,"maturity, growth"
కొడవలి కొట్టినట్టు మాట,Kodavali kottinattu maata,Harsh words hurt deeply,"speech, harshness"
నిప్పు పెట్టితేనే కాగితం వెలుగుతుంది,Nippu pettitene kaagitam velugutundi,Action is needed for results,"action, effort"
ఏనుగు పాదంలో పాము ఎలా బతుకుతుంది,Enugu paadhamlo paamu ela bathukuthundi,Weak can’t survive under strong dominance,"strength, inequality"
శూన్యంలో శోధిస్తే ఏదీ దొరకదు,Shoonyamlo shodhiste yedi dorakadu,Efforts must be put in the right place,"effort, direction"
మేడమీద మేకపోతు,Medamida mekupothu,Someone who shows off unnecessarily,"show-off, pride"
పొరుగు కోడికంటే మన కోడి బాగుండాలి,Porugu kodikante mana kodi baagundali,Our own things matter more,"priorities, self-care"
అల్పం ఆలోచన పెద్ద నష్టం,Alpam alochana pedda nashtam,Small mistakes cause big losses,"caution, thinking"
దొంగకు దొంగతనం రుచి,Dongaku dongathanam ruchi,People like what matches their nature,"nature, behavior"
శూన్యాన్ని ఎవరూ పూజించరు,Shoonyanni evaru poojinchadu,Empty things have no value,"value, importance"
పులి దాటితే పాదముద్రలు,Puli daatite paadamudralu,Great people leave marks behind,"legacy, impact"
ఎలుక దొరకదంటే బిలం తవ్వకూడదు,Eluka dorakadante bilam tavvakoodadu,Don’t waste effort on useless things,"waste, efficiency"
గాలి లేకపోతే దీపం అగుపడదు,Gaali lekapotey deepam agupadadu,Conditions must be favorable for success,"conditions, success"
పప్పులో కారం,Pappulo kaaram,A disturbing element in a smooth situation,"disturbance, irritation"
ఎలుక గుంతలో పాము,Eluka gunthalo paamu,Unexpected danger,"danger, surprise"
గాడిద కూడా నిద్రపోతుంది,Gadida kooda nidrapothundi,Even simple beings need rest,"rest, equality"
పంది ముందు విద్వత్తు,Pandi mundu vidwattu,Wisdom is wasted on the unworthy,"wisdom, waste"
పెద్ద నోరు – చిన్న పని,Pedda nooru – chinna pani,"Big talk, small actions","talk, hypocrisy"
ఎక్కిన చెట్టు దిగాలి,Ekkina chettu digali,One must face consequences,"responsibility, consequences"
నీళ్లు ఉన్నపుడే బావి విలువ,Neellu unnappude baavi viluva,Value is known only when needed,"value, importance"
తాటి చెట్టుపై తేనె,Taati chettupai thene,Getting good things from unlikely places,"surprise, unexpected"
పాము వెళ్లాక మట్టికొట్టి,Paamu vellaka mattikotti,Acting after the harm is done,"delay, regret"
చేపను నీళ్లలో వెతుకుతున్నట్టు,Chepanu neellalo vethukuthunattu,Searching where it’s obvious,"obvious, simplicity"
గాడిదకి పూలమాల వేసినట్టు,Gadidaki poolamaala vesinattu,Respecting someone who doesn’t deserve it,"undeserved, respect"
దొంగ దొంగ అంటాడు,Donga donga antadu,Wrongdoers accuse others,"blame, guilt"
నోళ్ళెక్కినప్పుడే మాట,Nollekkina appude maata,Speak only when appropriate,"timing, wisdom"
ఉప్పు ఎక్కువైతే పులుసు చెడిపోతుంది,Uppu ekkuvaite pulusu chedipotundi,Too much of anything ruins it,"balance, moderation"
ఆవేశం మంచిది కాదు,Aavesham manchidi kaadu,Anger is harmful,"anger, control"
గుడ్డి ముందు దీపం వేసినా వెలుగు కనిపించదు,Guddi mundu deepam vesina velugu kanipinchadu,Knowledge is useless to the ignorant,"ignorance, wisdom"
చీమ వెంట పాము,Cheema venta paamu,Small actions bring big trouble,"trouble, consequences"
కాలం అన్నదే పెద్దది,Kaalam annade peddadi,Time is the most powerful,"time, destiny"
పిల్లి చూసి ఎలుక ఏడ్చినట్టు,Pilli choosi eluka yedchinnattu,Crying once danger is visible,"fear, danger"
చేతికి అందని మామిడి,Chetiki andani mamidi,Wanting what you cannot reach,"desire, impossibility"
నాన్న కష్టం బిడ్డ భుజం,Nanna kashtam bidda bhujam,Children benefit from parents’ hard work,"inheritance, effort"
వాన పడకముందే మేఘాలు వస్తాయి,Vana padakamundey meghaalu vastayi,Signs appear before events,"signs, prediction"
చీమ కుట్టినట్టు నొప్పి,Cheema kuttinattu noppi,Slight but sharp discomfort,"pain, irritation"
అద్దంలో కనిపించింది నిజం కాదు,Addamlo kanipinchindhi nijam kaadu,Appearances can be deceiving,"appearance, truth"
ఆకలి అంటే అన్నం విలువ,Aakali ante annam viluva,Need gives value,"value, necessity"
పొట్ట నిండితే మనసు నిండుతుంది,Potta nindite manasu nindutundi,Satisfaction begins with basic needs,"satisfaction, needs"
అదృష్టం ఉన్నవాడికి అడ్డంకులు ఉండవు,Adrustam unna vaadiki addankulu undavu,Luck clears obstacles,"luck, success"
దొరికిన దానికే విలువ,Dorikina daanike viluva,What is available is valued,"value, availability"
మంచి చేయి – మంచి ఫలితం,Manchi cheyi – manchi phalitham,Good deeds bring good results,"good, karma"
నేలపాలు చేసినట్టు,Nelapaalu chesinattu,Wasting something completely,"waste, loss"
పులి వచ్చిందంటే పిల్లి పారిపోదు,Puli vachindante pilli paaripodu,Brave people don’t fear easily,"courage, bravery"
అన్నం దొరక్కపోతే ఆకలి తక్కువ అవుతుందా,Annam dorakkapotey aakali thakkuva avutunda,Lack of resources doesn’t reduce needs,"need, hunger"
కళ్లెదుట ఉండి కనపడకపోవడం,Kalleduta undi kanapadakapovadam,Missing what is right in front of you,"ignorance, oversight"
చెయ్యి వొంపితే గొంగళి లేస్తుంది,Cheyyi vompite gongali lestundi,Problems arise when you interfere,"interference, trouble"
చేతిలో ఉన్న పిట్ట పొదల్లో ఉన్న రెండింటికంటే మేలు,Chethilo unna pitta podallo unna rendu kante melu,What you have is better than what you hope for,"value, reality"
అవ్వ పొయ్యిలో పోతే బువ్వ పొయ్యిలో పడింది,Avva poyyilo pothe buvva poyyilo padindi,"When one thing goes wrong, many follow","chain reaction, trouble"
గాడిదకి వెన్నెముకలో జడ పెడితే వాడా,Gadidaki vennemukhalo jad pedite vada,You can’t change someone’s nature with appearance,"nature, behavior"
నిన్న మొన్నటి పిల్లవాడు కాదు,Ninna monnati pillavadu kaadu,Not inexperienced anymore,"maturity, growth"
కొడవలి కొట్టినట్టు మాట,Kodavali kottinattu maata,Harsh words hurt deeply,"harshness, speech"
నిప్పు పెట్టితేనే కాగితం వెలుగుతుంది,Nippu pettitene kaagitam velugutundi,"Without action, nothing happens","action, effort"
ఏనుగు పాదంలో పాము ఎలా బతుకుతుంది,Enugu paadhamlo paamu ela bathukuthundi,Weak cannot survive under the powerful,"strength, inequality"
శూన్యంలో శోధిస్తే ఏదీ దొరకదు,Shoonyamlo shodhiste yedi dorakadu,Efforts must be focused correctly,"direction, effort"
మేడమీద మేకపోతు,Medamida mekupothu,Someone who acts superior unnecessarily,"pride, show-off"
పొరుగు కోడికంటే మన కోడి బాగుండాలి,Porugu kodikante mana kodi baagundali,Our own things are more important,"priorities, self-care"
అల్పం ఆలోచన పెద్ద నష్టం,Alpam alochana pedda nashtam,Small mistakes cause big losses,"caution, thinking"
దొంగకు దొంగతనం రుచి,Dongaku dongathanam ruchi,People enjoy what suits their nature,"nature, behavior"
శూన్యాన్ని ఎవరూ పూజించరు,Shoonyanni evaru poojinchadu,Empty things have no value,"value, importance"
పులి దాటితే పాదముద్రలు,Puli daatite paadamudralu,Great people leave a legacy,"legacy, impact"
ఎలుక దొరకదంటే బిలం తవ్వకూడదు,Eluka dorakadante bilam tavvakoodadu,Don’t waste effort unnecessarily,"waste, efficiency"
గాలి లేకపోతే దీపం అగుపడదు,Gaali lekapotey deepam agupadadu,Right conditions are needed for success,"conditions, success"
పప్పులో కారం,Pappulo kaaram,A small disturbance in a smooth situation,"irritation, disturbance"
ఎలుక గుంతలో పాము,Eluka gunthalo paamu,Hidden danger,"danger, threat"
గాడిద కూడా నిద్రపోతుంది,Gadida kooda nidrapothundi,Everyone needs rest,"rest, equality"
పంది ముందు విద్వత్తు,Pandi mundu vidwattu,Wisdom is wasted on those who can’t value it,"wisdom, waste"
పెద్ద నోరు – చిన్న పని,Pedda nooru – chinna pani,"Big talk, small action","talk, hypocrisy"
ఎక్కిన చెట్టు దిగాలి,Ekkina chettu digali,One must face consequences,"consequences, responsibility"
నీళ్లు ఉన్నపుడే బావి విలువ,Neellu unnappude baavi viluva,Value is known only when needed,"value, importance"
తాటి చెట్టుపై తేనె,Taati chettupai thene,Getting good things from unlikely places,"surprise, unexpected"
పాము వెళ్లాక మట్టికొట్టి,Paamu vellaka mattikotti,Acting after damage is done,"regret, delay"
చేపను నీళ్లలో వెతుకుతున్నట్టు,Chepanu neellalo vethukuthunattu,Searching where it’s obvious,"obvious, simple"
గాడిదకి పూలమాల వేసినట్టు,Gadidaki poolamaala vesinattu,Giving respect to someone who doesn’t deserve it,"undeserved, respect"
దొంగ దొంగ అంటాడు,Donga donga antadu,Wrongdoers blame others,"blame, guilt"
చెడికి చెడే తోడు,Cediki cede todu,Evil supports evil,"evil, support, behavior"
గాలి లేకుండా ఆకులు కదవవు,Gaali lekunda aakulu kadavavu,Nothing happens without a reason,"cause, reason"
మూకలో రారాజు,Mookalo raaraju,Leader emerges among a group,"leadership, group"
ఉంచిన చోటు ఉగ్గు,Unchina chotu ugghu,Ignored things cause trouble,"neglect, trouble"
పులి నలుపు పోదు,Puli nalupu podu,Nature doesn’t change,"nature, behavior"
ఆవు ఎక్కడ కట్టినా పేడ అక్కడే,Aavu ekkada kattina peda akkadeye,People behave same everywhere,"nature, habit"
తగ్గిన కుందేలు తాటలో పడదు,Taggina kundelu taatalo padadu,Smart ones avoid danger,"caution, smartness"
చెప్పినట్లు చేసే వారు తక్కువ,Cheppinatlu chese varu takkuva,Few follow advice,"advice, behavior"
నిద్ర లేని ఎద్దు రైతుకి శత్రువు,Nidra leni eddhu rayituki satruvu,Lazy helpers cause harm,"laziness, harm"
చెవుల్లో విన్నది మనసులో నిలుస్తుంది,Chevullo vinnadi manasulo nilustundi,What you hear stays in mind,"learning, memory"
గుంట తవ్వితేనే నీళ్లు,Gunta tavvite neellu,Effort brings results,"effort, reward"
తిన్న గుఱ్ఱం మందు తాగదు,Tinna gurram mandu tagadu,The satisfied won’t crave more,"satisfaction, greed"
నవ్వే వారితోనే నీడ,Navve varitolone needa,Be with people who bring joy,"relationships, joy"
మంచి మాటకు వెండిమూల్యం,Manchi maataku vendi moolyam,Good words are valuable,"kindness, speech"
అదుపు లేని నోరు ప్రమాదం,Adupu leni noru pramadam,Loose talk is dangerous,"caution, speech"
దీపం ఉన్న చోటే చీకటి,Deepam unna chote cheekati,Problems exist even where there’s hope,"reality, balance"
గిన్నె నిండితేనే పొంగుతుంది,Ginne ninditene pongutundi,People show true colors under pressure,"pressure, behavior"
తూటాకు లేని తూటా రాదు,Tootaku leni toota raadu,No effect without a cause,"cause, consequence"
ఒంటరిగా నడిచే వాడే ముందుకు,Ontariga nadiche vaade munduku,Independent people progress,"independence, growth"
కొత్తవాడు రాగానే రొట్టెలు,Kottavadu raganey rottelu,People show off for newcomers,"showoff, behavior"
కేక విన్నా కేక విన్నట్టే,Kek vinna kek vinnatte,Ignoring doesn’t change reality,"ignorance, truth"
నెత్తికెక్కిన వాడు దిగడు,Netti kekkina vaadu digadu,Arrogant people don’t change,"arrogance, ego"
చేతిలో ఉన్న పక్షి మంచిది,Chetillo unna pakshi manchidi,What you have is valuable,"value, possession"
మంచుకొరకు మంచు కరుగదు,Manchukoraku manchu karugadu,Some things don’t change for anyone,"unchangeable, truth"
ఎద్దు ముందు చప్పట్లు,Eddhu mundu chappatlu,Wasted effort,"waste, effort"
పులి పంజా దాని సొంతం,Puli panja dani sontam,Strength belongs to the strong,"strength, ability"
నాయనా అబ్బాయి పెళ్ళి,Naayana abbayi pelli,Big responsibilities need planning,"responsibility, planning"
వాన వచ్చిన తర్వాత గొడుగేంటి,Vana vachinatarvata godugu enti,Late help is useless,"timing, help"
దొంగకి పగ తగదు,Dongaki paga tagadu,Criminals don’t accept blame,"blame, crime"
పెద్దవాడి మాటకు బంగారం విలువ,Peddavadi maataku bangaram viluva,Elder’s advice is precious,"elders, wisdom"
తీగలేలు తీసిన పాము,Teegalelu teesina paamu,Weak enemies look harmless,"danger, deception"
కుండలో ఉన్నంతే బయటకి,Kundalo unnante bayataki,You express what’s inside you,"inner nature, expression"
గాడిదకి పూలదండ,Gadidaki poola danda,Giving value to the unworthy,"unworthy, mismatch"
గోరంత చీకటి గోపురం,Goranta cheekati gopuram,Small problems can seem huge,"exaggeration, fear"
పండు పడి రాలినదే మిఠాయి,Pandu padi raalinade mithayi,Time ripens everything,"patience, time"
నది దాటాక పడవ ముంచడం,Nadi dataaka padava munchadam,Using someone and abandoning them,"betrayal, selfishness"
చీమ జోలపాడినా పాముకి నిద్రపట్టదు,Cheema jolapadina paamuki nidrapattadu,Enemies won’t be convinced easily,"enemies, danger"
పులి పడుకున్నా పులి,Puli padukunna puli,Strong people remain strong,"strength, nature"
ఏడ్చే పిల్లకి పాలే ఎక్కువ,Edche pillaki paale ekkuva,The demanding get more attention,"demand, attention"
గుట్టలో దాచిన గింజ,Guttalo daachina ginja,Hidden truth comes out,"truth, exposure"
మనిషికి మాటే ముఖ్యము,Manishiki maate mukhyam,A person is known by their word,"integrity, honesty"
అద్దానికి అద్దమే కనిపిస్తుంది,Addaniki addame kanipistundi,You see what you reflect,"perception, behavior"
నాటి పొలం నేటి పంట,Naati polam neti pant,Today’s harvest depends on past effort,"effort, result"
పాముకు పాలు పట్టడం,Paamuku paalu pattadam,Doing good to the wrong person,"kindness, wrong person"
తేనె తాగితే కాటు మరిచాడు,Tene tagite kaatu marichadu,Pleasure makes one forget pain,"pleasure, relief"
నీళ్లలో పాలు పోసినట్టే,Neellalo paalu posinatle,Blending without difference,"similarity, blend"
తూలం చూసి మిఠాయి,Thoolam choosi mithayi,Reward based on measure,"fairness, justice"
చెట్టు కోసి నీడలో కూర్చోడం,Chettu kosi needalo koorchodam,Destroying what you depend on,"irony, destruction"
అర్ధం లేని మాట గాలిలో కలిసిపోతుంది,Ardham leni maata gaalilo kalisipotundi,Meaningless words vanish,"meaningless, speech"
అన్నం దొరికితే పులి కూడా పులుసు తాగుతుంది,Annam dorikite puli kuda pulusu tagutundi,Even the strong compromise when needed,"compromise, survival"
అంగుళం వదిలితే అడుగు దూరం వెళ్తుంది,Angulam vadilite adugu dooram veltundi,Small negligence leads to big loss,"negligence, consequence"
అప్పు తీసుకున్నవాడు బానిస,Appu teesukunnavadu baanisa,A borrower becomes a servant,"debt, dependence"
అతి తిండి కడుపునొప్పి,Ati tindi kadupu noppi,Excess leads to problems,"excess, caution"
ఆవు ముందు బహిరంగం,Aavu mundu bahrangam,Showing off to the wrong audience,"mismatch, humor"
ఆలోచించి చేసినదే మంచి పని,Aalochinchi chesinade manchi pani,Thoughtful actions are best,"thought, wisdom"
ఒకే తాటి చెట్టు ఎప్పుడూ నీడ ఇవ్వదు,Oke taati chettu eppudu needa ivvadu,Dependence on one source is risky,"dependence, risk"
ఊరూరా ప్రయాణం మంచిదే,Uruura prayanam manchide,Travel broadens knowledge,"travel, knowledge"
ఎండలో నిల్చున్నా బంగారం మెరిసిందే,Endalo nilchunna bangaaram merisinde,Value remains value anywhere,"value, truth"
ఎవరు పడితే వాళ్లు రాయి వేస్తారు,Evaru padite vaallu raayi vestaru,People easily criticize,"criticism, society"
ఎలుక గింజ దొరికితే పండుగ,Eluka ginja dorikite panduga,Small gains bring big joy,"joy, small wins"
ఏలిన వాడు ఏలుతాడు,Aelina vaadu aelutadu,The capable will rule,"ability, leadership"
ఒంటెకి రెప్ప బరువు,Onteki reppa baruvu,Very easy burden,"ease, simplicity"
కంచె దాటితే కుక్క కూడా కొడుతుంది,Kanche datite kukka kuda kodutundi,Crossing limits invites trouble,"limits, danger"
కన్ను ఉన్నవాడికి మెలకువ అవసరం లేదు,Kanu unnavaadiki melakuva avasaram ledu,Wise people don’t need warnings,"wisdom, awareness"
కనుక్కున్నవాడు దేవుడు,Kanukkunnavaadu devudu,The one who finds (solutions) is great,"solutions, intelligence"
కత్తి మీద సాము,Katti meeda saamu,A risky situation,"risk, danger"
కష్టం లేక బంగారం లేదు,Kashtam leka bangaram ledu,"No pain, no gain","effort, reward"
కాగితపు పులి,Kaagitapu puli,Someone who looks strong but isn’t,"fake strength, deception"
కొంచెం మాట్లాడితే మంచిది,Konchem maatladite manchidi,Speaking less is wise,"speech, wisdom"
కోడి కూయకపోయినా పగలే,Kodi kuuyakapoyina pagale,Some things happen regardless,inevitability
ఖాళీ చేతులవాడికి మాటే ఎక్కువ,Khaali chetulavaadiki maate ekkuva,Empty-handed people talk more,"talk, behavior"
గాడిదకి చందమామ కథలు,Gadidaki chandamama kathalu,Useless explanation to the wrong person,"mismatch, humor"
గాలి వచ్చినా దీపం ఆరదే,Gaali vachina deepam aarade,Strong things withstand challenges,"strength, resilience"
గంట మోగినా దేవుడు కదలడు,Ganta mogina devudu kadaladu,Noise doesn’t change truth,"truth, noise"
చీమల దండు వస్తే పిండి బస్తా ఖాళీ,Cheemala dandaa vaste pindi basta khaali,Small issues together become big,"accumulation, problem"
చేతికందిన పని వెంటనే చేయాలి,Chetikandina pani ventane cheyaali,Do what’s in hand immediately,"discipline, action"
జింక అడవిలోనే బాగుంటుంది,Jinka adavilo ne baguntundi,One thrives in the right place,"environment, suitability"
టోపీ పెట్టేవాడు ముందు చూస్తాడు,Topi pettevaadu mundu choostadu,Deceivers plan ahead,"deception, cunning"
అతి మితి తేడా,Ati miti teda,Too much or too little is harmful,"balance, caution"
రాయికి రాయి తగిలితేనే మిణుగురు,Rayiki raayi tagiliteney minuguru,Sparks fly only when stones strike,"effort, action"
చిన్న పురుగు పెద్ద రంధ్రం చేస్తుంది,Chinna purugu pedda randhram chestundi,Small issues can cause big damage,"small cause, big effect"
కొడుకు ఉన్నా కోడలే ఇంటి వెలుగు,Koduku unna kodale inti velugu,Daughters-in-law bring warmth to home,"family, respect"
విత్తనమే పంట అవుతుంది,Vittaname pantavutundi,What you sow is what you reap,"karma, consequence"
"అప్పు గొడ్డలి, వడ్డీ గొంతుక","Appu goddali, vaddi gontuka","Debt is an axe, interest is a noose","debt, caution"